ID,Categoria,Frase,Autore,Stato,Colonna_F_Testo_Elaborazione
168,Vendita,"La qualità della tua vita è la qualità delle tue comunicazioni.",Tony Robbins,Disponibile,"La qualità della tua vita è la qualità delle tue comunicazioni. — Tony Robbins"
169,Vendita,"Vendere è servire.",Anonimo,Disponibile,"Vendere è servire. — Anonimo"
170,Vendita,"Se non credi nel tuo prezzo, non lo farà nemmeno il cliente.",Antonio Giancani,Disponibile,"Se non credi nel tuo prezzo, non lo farà nemmeno il cliente. — Antonio Giancani"
171,Vendita,"Il cliente ha sempre ragione... finché non sbaglia l'investimento.",Antonio Giancani,Disponibile,"Il cliente ha sempre ragione... finché non sbaglia l'investimento. — Antonio Giancani"
172,Vendita,"Non cercare clienti per i tuoi prodotti, cerca prodotti per i tuoi clienti.",Seth Godin,Disponibile,"Non cercare clienti per i tuoi prodotti, cerca prodotti per i tuoi clienti. — Seth Godin"
173,Vendita,"La negoziazione è l'arte di lasciare che l'altro ottenga ciò che vuole, alle tue condizioni.",Anonimo,Disponibile,"La negoziazione è l'arte di lasciare che l'altro ottenga ciò che vuole, alle tue condizioni. — Anonimo"
174,Vendita,"Un affare è buono solo se è buono per entrambe le parti.",Antonio Giancani,Disponibile,"Un affare è buono solo se è buono per entrambe le parti. — Antonio Giancani"
175,Immobiliare,"Non aspettare per comprare casa. Compra casa e aspetta.",Will Rogers,Disponibile,"Non aspettare per comprare casa. Compra casa e aspetta. — Will Rogers"
176,Immobiliare,"I proprietari terrieri si arricchiscono mentre dormono.",John Stuart Mill,Disponibile,"I proprietari terrieri si arricchiscono mentre dormono. — John Stuart Mill"
177,Immobiliare,"Il miglior investimento sulla terra è la terra.",Louis Glickman,Disponibile,"Il miglior investimento sulla terra è la terra. — Louis Glickman"
178,Immobiliare,"Comprare casa è la migliore polizza assicurativa che esista.",Antonio Giancani,Disponibile,"Comprare casa è la migliore polizza assicurativa che esista. — Antonio Giancani"
179,Immobiliare,"Il mattone non tradisce mai.",Proverbio,Disponibile,"Il mattone non tradisce mai. — Proverbio"
180,Immobiliare,"Non vendiamo metri quadri, vendiamo futuro.",Antonio Giancani,Disponibile,"Non vendiamo metri quadri, vendiamo futuro. — Antonio Giancani"
181,Immobiliare,"La casa è dove inizia la tua storia.",Anonimo,Disponibile,"La casa è dove inizia la tua storia. — Anonimo"
182,Immobiliare,"Investire nel mattone è investire nella stabilità.",Antonio Giancani,Disponibile,"Investire nel mattone è investire nella stabilità. — Antonio Giancani"
183,Immobiliare,"Il prezzo si dimentica, la qualità rimane.",Aldo Gucci,Disponibile,"Il prezzo si dimentica, la qualità rimane. — Aldo Gucci"
184,Immobiliare,"Ogni casa ha un'anima, il mio lavoro è farla parlare.",Antonio Giancani,Disponibile,"Ogni casa ha un'anima, il mio lavoro è farla parlare. — Antonio Giancani"
185,Business,"Il business è come una carriola: se non la spingi, non va.",Proverbio,Disponibile,"Il business è come una carriola: se non la spingi, non va. — Proverbio"
186,Business,"Non puoi gestire ciò che non puoi misurare.",Peter Drucker,Disponibile,"Non puoi gestire ciò che non puoi misurare. — Peter Drucker"
187,Business,"Il fatturato è vanità, il profitto è sanità.",Anonimo,Disponibile,"Il fatturato è vanità, il profitto è sanità. — Anonimo"
188,Business,"Circondati solo di persone che ti porteranno più in alto.",Oprah Winfrey,Disponibile,"Circondati solo di persone che ti porteranno più in alto. — Oprah Winfrey"
189,Business,"L'unico modo per fare un ottimo lavoro è amare quello che fai.",Steve Jobs,Disponibile,"L'unico modo per fare un ottimo lavoro è amare quello che fai. — Steve Jobs"
190,Business,"Il successo lascia tracce.",Tony Robbins,Disponibile,"Il successo lascia tracce. — Tony Robbins"
191,Business,"Non aver paura di rinunciare al buono per puntare all'ottimo.",John D. Rockefeller,Disponibile,"Non aver paura di rinunciare al buono per puntare all'ottimo. — John D. Rockefeller"
192,Business,"Nel business, o ti evolvi o ti estingui.",Antonio Giancani,Disponibile,"Nel business, o ti evolvi o ti estingui. — Antonio Giancani"
193,Business,"Le idee non valgono nulla. L'esecuzione è tutto.",Antonio Giancani,Disponibile,"Le idee non valgono nulla. L'esecuzione è tutto. — Antonio Giancani"
194,Business,"Il rischio viene dal non sapere cosa stai facendo.",Warren Buffett,Disponibile,"Il rischio viene dal non sapere cosa stai facendo. — Warren Buffett"
195,Business,"La reputazione impiega vent'anni a costruirsi e cinque minuti a rovinarsi.",Warren Buffett,Disponibile,"La reputazione impiega vent'anni a costruirsi e cinque minuti a rovinarsi. — Warren Buffett"
196,Business,"Se non ti piace dove sei, spostati. Non sei un albero.",Jim Rohn,Disponibile,"Se non ti piace dove sei, spostati. Non sei un albero. — Jim Rohn"
197,Disciplina,"La motivazione è ciò che ti fa partire. L'abitudine è ciò che ti fa andare avanti.",Jim Ryun,Disponibile,"La motivazione è ciò che ti fa partire. L'abitudine è ciò che ti fa andare avanti. — Jim Ryun"
198,Disciplina,"La disciplina è fare ciò che deve essere fatto, anche se non vuoi farlo.",Anonimo,Disponibile,"La disciplina è fare ciò che deve essere fatto, anche se non vuoi farlo. — Anonimo"
199,Disciplina,"Il successo non è un evento, è una mentalità.",Antonio Giancani,Disponibile,"Il successo non è un evento, è una mentalità. — Antonio Giancani"
200,Disciplina,"Lavora duro in silenzio, lascia che il successo faccia rumore.",Frank Ocean,Disponibile,"Lavora duro in silenzio, lascia che il successo faccia rumore. — Frank Ocean"
201,Disciplina,"Non ci sono segreti per il successo. È il risultato di preparazione, duro lavoro e apprendimento dai fallimenti.",Colin Powell,Disponibile,"Non ci sono segreti per il successo. È il risultato di preparazione, duro lavoro e apprendimento dai fallimenti. — Colin Powell"
202,Disciplina,"Oggi farò ciò che gli altri non faranno, così domani potrò fare ciò che gli altri non potranno.",Jerry Rice,Disponibile,"Oggi farò ciò che gli altri non faranno, così domani potrò fare ciò che gli altri non potranno. — Jerry Rice"
203,Disciplina,"La pigrizia è la ruggine dell'anima.",Antonio Giancani,Disponibile,"La pigrizia è la ruggine dell'anima. — Antonio Giancani"
204,Disciplina,"Non fermarti quando sei stanco, fermati quando hai finito.",Anonimo,Disponibile,"Non fermarti quando sei stanco, fermati quando hai finito. — Anonimo"
205,Disciplina,"Il talento senza disciplina è come una macchina senza benzina.",Antonio Giancani,Disponibile,"Il talento senza disciplina è come una macchina senza benzina. — Antonio Giancani"
206,Disciplina,"La procrastinazione è la ladra del tempo.",Edward Young,Disponibile,"La procrastinazione è la ladra del tempo. — Edward Young"
207,Focus,"Non puoi attraversare il mare semplicemente stando fermo e fissando l'acqua.",Rabindranath Tagore,Disponibile,"Non puoi attraversare il mare semplicemente stando fermo e fissando l'acqua. — Rabindranath Tagore"
208,Focus,"Rimani concentrato. Vai avanti.",Anonimo,Disponibile,"Rimani concentrato. Vai avanti. — Anonimo"
209,Focus,"La direzione è più importante della velocità.",Anonimo,Disponibile,"La direzione è più importante della velocità. — Anonimo"
210,Focus,"Sii selettivo nelle tue battaglie.",Antonio Giancani,Disponibile,"Sii selettivo nelle tue battaglie. — Antonio Giancani"
211,Focus,"Dove va il focus, scorre l'energia.",Tony Robbins,Disponibile,"Dove va il focus, scorre l'energia. — Tony Robbins"
212,Focus,"Un uomo che osa sprecare un'ora del suo tempo non ha scoperto il valore della vita.",Charles Darwin,Disponibile,"Un uomo che osa sprecare un'ora del suo tempo non ha scoperto il valore della vita. — Charles Darwin"
213,Focus,"Meno distrazioni, più azione.",Antonio Giancani,Disponibile,"Meno distrazioni, più azione. — Antonio Giancani"
214,Focus,"Il multitasking è l'arte di incasinare più cose contemporaneamente.",Anonimo,Disponibile,"Il multitasking è l'arte di incasinare più cose contemporaneamente. — Anonimo"
215,Focus,"Tieni gli occhi sull'obiettivo, non sugli ostacoli.",Antonio Giancani,Disponibile,"Tieni gli occhi sull'obiettivo, non sugli ostacoli. — Antonio Giancani"
216,Focus,"La chiarezza porta al potere.",Tony Robbins,Disponibile,"La chiarezza porta al potere. — Tony Robbins"
217,Mindset,"Tutto è possibile per chi crede.",Gesù,Disponibile,"Tutto è possibile per chi crede. — Gesù"
218,Mindset,"Chiedete e vi sarà dato; cercate e troverete; bussate e vi sarà aperto.",Gesù,Disponibile,"Chiedete e vi sarà dato; cercate e troverete; bussate e vi sarà aperto. — Gesù"
219,Mindset,"Non preoccupatevi del domani, perché il domani si preoccuperà di se stesso.",Gesù,Disponibile,"Non preoccupatevi del domani, perché il domani si preoccuperà di se stesso. — Gesù"
220,Mindset,"La verità vi renderà liberi.",Gesù,Disponibile,"La verità vi renderà liberi. — Gesù"
221,Mindset,"Se aveste fede quanto un granello di senape, nulla vi sarebbe impossibile.",Gesù,Disponibile,"Se aveste fede quanto un granello di senape, nulla vi sarebbe impossibile. — Gesù"
222,Focus,"Dov'è il tuo tesoro, là sarà anche il tuo cuore.",Gesù,Disponibile,"Dov'è il tuo tesoro, là sarà anche il tuo cuore. — Gesù"
223,Mindset,"Non temere, continua solo ad avere fede.",Gesù,Disponibile,"Non temere, continua solo ad avere fede. — Gesù"
