ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
97,Parabole di Gesù,Il Seminatore e i Quattro Terreni,Matteo 13,20:00,"Ecco a voi in 2 minuti: il seme sparso e i diversi terreni del cuore. Il seminatore getta il buon seme: una parte cade lungo la via e gli uccelli la mangiano; una sui sassi e inaridisce; una tra le spine che la soffocano. Ma una parte cade nella terra buona e produce frutto, chi il cento, chi il sessanta, chi il trenta. Il cuore limpido che accoglie e custodisce la Parola porta frutti fecondi nel tempo.",Pronto
98,Parabole di Gesù,Il Granello di Senape e l'Albero Accogliente,Matteo 13,20:00,"Ecco a voi in 2 minuti: la crescita prodigiosa delle cose piccole. Gesù paragona il regno dei cieli a un granello di senape che un uomo semina nel suo campo. Esso è il più piccolo di tutti i semi, ma quando cresce diventa più grande di tutti gli ortaggi e si trasforma in un albero maestoso, tanto che gli uccelli del cielo vi trovano riparo tra i rami. Le grandi opere fioriscono dalla perseveranza umile.",Pronto
99,Parabole di Gesù,La Perla di Gran Valore,Matteo 13,20:00,"Ecco a voi in 2 minuti: la scoperta del bene supremo della vita. Il regno dei cieli è simile a un mercante in cerca di perle preziose. Trovata una perla di grandissimo valore, va, vende con gioia tutti i suoi beni e la compra. Quando il cuore riconosce ciò che possiede valore eterno, ogni attaccamento effimero passa in secondo piano senza alcun rimpianto. La vera ricchezza abita nello spirito.",Pronto
100,Parabole di Gesù,La Pecora Smarrita sulle Spalle del Pastore,Luca 15,20:00,"Ecco a voi in 2 minuti: la sollecitudine del Pastore per chi si perde. Se un pastore ha cento pecore e ne smarrisce una, non lascia le novantanove sui monti per andare in cerca di quella perduta finché non la ritrova? Ritrovatala, se la mette sulle spalle tutto contento, torna a casa e invita amici e vicini a far festa con lui. C'è gioia immensa nel cielo per ogni cuore che ritrova la via della luce.",Pronto
ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
101,Parabole di Gesù,La Dracma Perduta e Ritrovata,Luca 15,20:00,"Ecco a voi in 2 minuti: la sollecitudine nel cercare ciò che è prezioso. Una donna possiede dieci monete d'argento e ne smarrisce una in casa. Accende subito una lampada, spazza accuratamente ogni angolo e cerca con perseveranza finché non la ritrova. Piena di gioia, chiama le amiche e le vicine dicendo: «Rallegratevi con me, perché ho ritrovato la moneta che avevo perduto!» Allo stesso modo c'è festa tra gli angeli per un solo peccatore che si converte. Nessuna anima è trascurabile agli occhi di Dio.",Pronto
102,Parabole di Gesù,L'Amministratore Astuto e la Prudenza,Luca 16,20:00,"Ecco a voi in 2 minuti: la parabola sulla prudenza nelle scelte di vita. Un amministratore accusato di dissipare i beni del padrone agisce d'anticipo prima di essere licenziato: chiama i debitori e riduce con generosità i loro debiti per assicurarsi accoglienza futura. Il padrone ne loda non la disonestà, ma la lungimiranza. Chi sa impiegare le risorse terrene con saggezza e generosità si prepara dimore eterne. La vera prudenza guarda al futuro con responsabilità e coraggio.",Pronto
103,Parabole di Gesù,Il Ricco Epulone e il Povero Lazzaro,Luca 16,20:00,"Ecco a voi in 2 minuti: il valore della compassione contro l'indifferenza. Un uomo ricco banchetta ogni giorno con sfarzo, mentre alla sua porta giace il povero Lazzaro coperto di piaghe, desideroso solo delle briciole. Dopo la morte, Lazzaro è consolato nel seno di Abramo, mentre il ricco sperimenta il tormento della sua aridità. Tra l'indifferenza terrena e la giustizia celeste c'è un abisso incolmabile. Ascoltare la voce dei bisognosi oggi è la sola via per custodire l'anima domani.",Pronto
104,Parabole di Gesù,I Servi Inutili e il Servizio Disinteressato,Luca 17,20:00,"Ecco a voi in 2 minuti: la grandezza del servire senza pretendere vanto. Gesù insegna ai discepoli l'attitudine del cuore retto: il servo che torna dai campi prepara la cena al padrone e compie il suo dovere con umiltà. «Così anche voi, quando avrete fatto tutto ciò che vi è stato ordinato, dite: Siamo servi inutili; abbiamo fatto quanto dovevamo fare.» La bontà autentica non cerca applausi umani né ricompense esteriori, ma trova la sua gioia nel servire con sincerità.",Pronto
105,Parabole di Gesù,Il Giudice Iniquo e la Vedova Costante,Luca 18,20:00,"Ecco a voi in 2 minuti: la forza instancabile della preghiera fiduciosa. In una città vive un giudice che non teme Dio e non ha rispetto per alcuno. Una povera vedova va continuamente da lui supplicando: «Fammi giustizia contro il mio avversario!» Per molto tempo egli rifiuta, ma infine cede all'insistenza per non essere più importunato. Se perfino un giudice iniquo fa giustizia, quanto più Dio ascolterà i suoi eletti che gridano a lui giorno e notte? Non stancatevi mai di sperare.",Pronto
106,Parabole di Gesù,Il Fariseo e il Pubblicano nel Tempio,Luca 18,20:00,"Ecco a voi in 2 minuti: l'umiltà sincera che ottiene la giustizia. Due uomini salgono al tempio a pregare: un fariseo e un pubblicano. Il fariseo sta in piedi e ringrazia Dio vantando i propri digiuni e meriti, disprezzando gli altri. Il pubblicano invece si ferma a distanza, non osa alzare gli occhi al cielo, ma si batte il petto dicendo: «O Dio, abbi pietà di me, peccatore!» Egli torna a casa giustificato, a differenza del primo. Chi si esalta sarà umiliato, chi si umilia sarà esaltato.",Pronto
107,Vangelo,Gesù Accoglie e Benedice i Bambini,Marco 10,20:00,"Ecco a voi in 2 minuti: la purezza di cuore come porta del Regno. Presentano a Gesù dei bambini perché li accarezzi, ma i discepoli li rimproverano duramente. Gesù si indigna e dice loro con fermezza: «Lasciate che i piccoli vengano a me e non glielo impedite, perché a chi è come loro appartiene il regno di Dio!» Poi li prende tra le braccia, impone le mani su di loro e li benedice con tenerezza. Solo chi sa accogliere la vita con stupore e semplicità scopre la vera grandezza interiore.",Pronto
108,Vangelo,Il Giovane Ricco e la Scelta Libera,Marco 10,20:00,"Ecco a voi in 2 minuti: l'incontro sul senso profondo dell'esistenza. Un giovane corre incontro a Gesù, si inginocchia e chiede: «Maestro buono, che devo fare per ereditare la vita eterna?» Egli osserva già tutti i comandamenti fin dall'infanzia. Gesù lo fissa con amore e gli dice: «Una cosa sola ti manca: va', vendi quello che hai, dallo ai poveri e avrai un tesoro in cielo; poi vieni e seguimi!» Ma il giovane si rattrista e se ne va scuro in volto, perché possedeva molti beni. Il cuore libero dona tutto.",Pronto
109,Parabole di Gesù,I Lavoratori della Vigna e la Generosità,Matteo 20,20:00,"Ecco a voi in 2 minuti: la grazia sovrana che supera ogni merito umano. Il padrone di una vigna esce a varie ore del giorno per assumere braccianti, chiamando gli ultimi perfino all'ora del tramonto. A sera dona a ciascuno la medesima mercede pattuita: un denaro intero. I primi protestano, ma il padrone risponde: «Amico, non ti faccio torto; non posso fare delle mie cose quello che voglio? O sei invidioso perché io sono buono?» Gli ultimi saranno i primi: l'amore divino non calcola, ma dona con abbondanza.",Pronto
110,Vangelo,I Figli di Zebedeo e il Vero Potere,Marco 10,20:00,"Ecco a voi in 2 minuti: la rivoluzione del servire sopra il dominare. Giacomo e Giovanni chiedono di sedere uno alla destra e uno alla sinistra di Gesù nella sua gloria. Gli altri discepoli si sdegnano con loro. Ma Gesù li chiama a sé e spiega: «I governanti delle nazioni spadroneggiano, ma tra voi non sia così: chi vuole diventare grande sia vostro servitore, e chi vuole essere il primo sia schiavo di tutti.» Il Figlio dell'uomo non è venuto per farsi servire, ma per dare la propria vita per molti.",Pronto
111,Vangelo,L'Incontro con Zaccheo sul Sicomoro,Luca 19,20:00,"Ecco a voi in 2 minuti: lo sguardo che rigenera una vita a Gerico. Zaccheo, capo dei pubblicani e ricco esattore, desidera vedere chi sia Gesù ma è piccolo di statura; corre avanti e sale su un albero di sicomoro. Quando giunge sul posto, Gesù alza lo sguardo e gli dice: «Zaccheo, scendi subito, perché oggi devo fermarmi a casa tua!» Accolto con gioia, Zaccheo cambia vita all'istante: «Do la metà dei miei beni ai poveri e se ho frodato restituisco quattro volte tanto.» La salvezza visita chi accoglie l'amore.",Pronto
112,Parabole di Gesù,I Talenti Affidati e la Responsabilità,Matteo 25,20:00,"Ecco a voi in 2 minuti: il coraggio di far fruttificare i doni ricevuti. Un uomo in partenza per un viaggio affida i suoi beni ai servi: a uno cinque talenti, a un altro due e a un altro uno, secondo la capacità di ciascuno. I primi due investono con audacia raddoppiando il capitale; il terzo scava una buca per paura e nasconde la moneta. Al ritorno, i servi fedeli sono lodati ed entrano nella gioia del padrone, mentre il pigro perde ciò che aveva. La vita chiama a mettersi in gioco senza timore.",Pronto
113,Parabole di Gesù,Le Dieci Vergini e l'Olio della Fede,Matteo 25,20:00,"Ecco a voi in 2 minuti: la vigilanza vigilante nella notte dell'attesa. Dieci fanciulle prendono le loro lampade e vanno incontro allo sposo. Cinque sono sagge e portano con sé l'olio di riserva nei vasetti; cinque sono stolte e prendono solo le lampade. A mezzanotte risuona il grido: «Ecco lo sposo, andategli incontro!» Le stolte rimangono al buio senza olio mentre le sagge entrano alla festa nuziale e la porta viene chiusa. Custodite viva la fiamma della fede nel segreto del vostro cuore.",Pronto
114,Parabole di Gesù,Il Giudizio delle Nazioni e la Carità,Matteo 25,20:00,"Ecco a voi in 2 minuti: la misura su cui saremo giudicati nell'ultimo giorno. Il Re della gloria raduna tutte le genti e separa i giusti come il pastore separa le pecore dai capri: «Venite, benedetti dal Padre mio: ho avuto fame e mi avete dato da mangiare, ho avuto sete e mi avete dato da bere, ero forestiero e mi avete ospitato, malato e carcerato e siete venuti a trovarmi.» I giusti chiedono quando mai lo abbiano visto così: «Ogni volta che l'avete fatto a uno solo di questi miei fratelli più piccoli, l'avete fatto a me.»",Pronto
115,Vangelo,L'Unzione Profumata di Maria a Betania,Giovanni 12,20:00,"Ecco a voi in 2 minuti: il gesto di amore puro che profuma la casa. Sei giorni prima della Pasqua, nella casa di Betania, Maria prende una libbra di profumo di nardo autentico, preziosissimo. Lo versa sui piedi di Gesù e li asciuga con i suoi lunghi capelli; l'intera stanza si riempie di quell'aroma soave. Giuda protesta per lo spreco di denaro, ma Gesù la difende con dolcezza: «Lasciala fare: ha compiuto un gesto d'amore in vista della mia sepoltura.» Il dono sincero non calcola convenienze umane.",Pronto
116,Vangelo,L'Ingresso Festoso a Gerusalemme,Matteo 21,20:00,"Ecco a voi in 2 minuti: la domenica delle palme e il Re mite. Avvicinandosi a Gerusalemme, Gesù monta su una giovane asinella compiendo l'antica profezia di Zaccaria. Una folla immensa stende i propri mantelli lungo la via dissodata, mentre altri tagliano rami di palma e ulivo agitandoli festanti e gridando a gran voce: «Osanna al Figlio di Davide! Benedetto colui che viene nel nome del Signore!» Non con carri di guerra, ma con la dolcezza dell'umiltà entra il vero Re della pace.",Pronto
117,Vangelo,Il Pianto di Gesù sopra Gerusalemme,Luca 19,20:00,"Ecco a voi in 2 minuti: le lacrime sul destino della città amata. Quando giunge in vista della città santa, Gesù la contempla dall'alto del monte degli Ulivi e scoppia in pianto: «Se avessi compreso anche tu in questo giorno la via che porta alla pace! Ma ora è rimasta nascosta ai tuoi occhi.» Piange sul rifiuto dell'amore e sui tempi bui che verranno per non aver riconosciuto il tempo della grazia. Il cuore di Dio non condanna con rabbia, ma soffre per la cecità degli uomini.",Pronto
118,Vangelo,Il Fico Infruttifero e la Potenza della Preghiera,Matteo 21,20:00,"Ecco a voi in 2 minuti: la lezione sulla fede che sposta le montagne. Tornando verso la città al mattino, Gesù ha fame e si accosta a un fico lungo la via, ma vi trova solo foglie sterili. Dice all'albero: «Non nasca mai più frutto da te!» e il fico si secca all'istante. Ai discepoli meravigliati spiega: «Se avrete fede e non dubiterete, non solo farete ciò che è avvenuto al fico, ma se direte a questo monte: Lèvati e gettati nel mare, ciò avverrà.» La preghiera autentica ottiene ciò che domanda.",Pronto
119,Vangelo,La Moneta del Tributo a Cesare,Matteo 22,20:00,"Ecco a voi in 2 minuti: la distinzione tra potere terreno e dovere sacro. Cercando di coglierlo in fallo, i farisei chiedono a Gesù: «È lecito o no pagare il tributo a Cesare?» Riconoscendo la loro ipocrisia, egli risponde: «Mostratemi la moneta del tributo.» Presentatogli un denaro, domanda di chi siano l'immagine e l'iscrizione; rispondono: «Di Cesare.» Allora pronuncia la celebre verità: «Rendete dunque a Cesare ciò che è di Cesare e a Dio ciò che è di Dio.» L'anima appartiene unicamente al Creatore.",Pronto
120,Vangelo,Il Più Grande di Tutti i Comandamenti,Matteo 22,20:00,"Ecco a voi in 2 minuti: la sintesi perfetta dell'intera Legge divina. Un dottore della Legge si fa avanti per metterlo alla prova: «Maestro, nella Legge qual è il grande comandamento?» Gesù risponde senza esitare: «Amerai il Signore tuo Dio con tutto il tuo cuore, con tutta la tua anima e con tutta la tua mente. Questo è il grande e primo comandamento. Il secondo è simile al primo: Amerai il tuo prossimo come te stesso.» Da queste due parole d'amore dipendono tutta la Legge e i Profeti.",Pronto
121,Vangelo,L'Offerta dei Due Spiccioli della Vedova,Marco 12,20:00,"Ecco a voi in 2 minuti: la generosità nascosta che supera ogni ricchezza. Seduto di fronte al tesoro del tempio, Gesù osserva la folla che getta monete; molti ricchi ne versano in grande abbondanza. Arriva una povera vedova che getta solo due monetine, equivalenti a un soldo. Chiamati a sé i discepoli, Gesù rivela: «In verità vi dico: questa vedova ha gettato nel tesoro più di tutti gli altri; tutti hanno dato del loro superfluo, lei invece vi ha gettato tutto quello che aveva per vivere.» Il valore sta nel cuore che dona.",Pronto
122,Vangelo,La Lavanda dei Piedi nel Cenacolo,Giovanni 13,20:00,"Ecco a voi in 2 minuti: l'atto supremo di umiltà e servizio fraterno. Durante l'ultima cena, sapendo che era giunta la sua ora, Gesù si alza da tavola, depone le vesti, si cinge un asciugatoio e versa acqua in un catino. Comincia a lavare i piedi ai discepoli e ad asciugarli. Di fronte allo stupore di Pietro, spiega: «Se io, il Signore e il Maestro, ho lavato i piedi a voi, anche voi dovete lavarvi i piedi gli uni gli altri. Vi ho dato l'esempio.» Chi ama davvero sa chinarsi con dolcezza.",Pronto
123,Vangelo,L'Istituzione dell'Ultima Cena,Matteo 26,20:00,"Ecco a voi in 2 minuti: il memoriale eterno dell'amore donato. Mentre mangiano nel cenacolo, Gesù prende il pane, pronuncia la benedizione, lo spezza e lo dà ai discepoli dicendo: «Prendete, mangiate: questo è il mio corpo.» Poi prende il calice del vino, rende grazie e lo porge loro: «Bevetene tutti, perché questo è il mio sangue dell'alleanza, versato per molti in remissione dei peccati.» Un legame indissolubile che attraversa i secoli offrendo comunione, perdono e speranza a ogni generazione.",Pronto
124,Vangelo,L'Agonia Notturna nel Giardino del Getsemani,Matteo 26,20:00,"Ecco a voi in 2 minuti: la preghiera fiduciosa nell'ora più buia. Nel frantoio del Getsemani, sotto gli ulivi antichi, Gesù prova angoscia e tristezza mortale. Si allontana dai discepoli addormentati, cade con la faccia a terra e prega con fervore: «Padre mio, se è possibile, passi via da me questo calice! Però non come voglio io, ma come vuoi tu.» Il sudore si fa simile a gocce di sangue che cadono a terra, ma la sua volontà si rimette totalmente nelle mani del Padre. La vera forza nasce dall'affidamento totale.",Pronto
125,Vangelo,Il Bacio del Tradimento e l'Arresto,Matteo 26,20:00,"Ecco a voi in 2 minuti: la fedeltà tradita nell'oscurità del giardino. Mentre Gesù ancora parla, arriva Giuda con una folla armata di spade e bastoni inviata dai capi dei sacerdoti. Il traditore aveva dato un segno: «Quello che bacerò, è lui; arrestatelo.» Avvicinatosi, dice: «Salve, Rabbì!» e lo bacia con freddezza. Gesù gli risponde con infinita dignità: «Amico, per questo sei qui?» Non oppone resistenza alla violenza, lasciandosi condurre via per compiere la Scrittura. La mitezza disarma l'odio del mondo.",Pronto
126,Vangelo,La Guarigione dell'Orecchio di Malco,Giovanni 18,20:00,"Ecco a voi in 2 minuti: la misericordia che risana perfino il nemico. Nel tumulto dell'arresto nel giardino, Simon Pietro sguaina una spada per difendere il Maestro e colpisce il servo del sommo sacerdote, tagliandogli l'orecchio destro. Ma Gesù interviene subito fermamente: «Riponi la spada nel suo fodero, perché tutti quelli che prendono la spada, periranno di spada!» Poi tocca l'orecchio del servo ferito e lo guarisce all'istante. Fino all'ultimo respiro, la via di Cristo è la pace e il perdono.",Pronto
127,Vangelo,Il Triplice Rinnegamento di Pietro,Luca 22,20:00,"Ecco a voi in 2 minuti: la fragilità umana e lo sguardo che risana. Nel cortile del sommo sacerdote, mentre Gesù è sotto processo, Pietro si scalda al fuoco tra i servi. Riconosciuto da tre persone diverse, nega con timore per tre volte di conoscerlo. Subito il gallo canta all'alba. In quell'istante il Signore si volta e fissa lo sguardo su Pietro; l'apostolo ricorda la profezia, esce fuori dal cortile e scoppia in un pianto amaro. Da quelle lacrime sincere rinasce la roccia della testimonianza.",Pronto
128,Vangelo,Gesù Davanti a Caifa e al Sinedrio,Matteo 26,20:00,"Ecco a voi in 2 minuti: la testimonianza limpida davanti alle false accuse. Condotto nella casa del sommo sacerdote Caifa, Gesù affronta testimoni prezzolati e accuse ingiuste, rispondendo con un silenzio sovrano. Quando il sacerdote gli intima con giuramento solenne: «Ti scongiuro per il Dio vivente, dicci se tu sei il Cristo!», Gesù risponde con fermezza: «Tu l'hai detto; vedrete il Figlio dell'uomo seduto alla destra della Potenza divina.» Condannato ingiustamente, non indietreggia dinanzi alla verità.",Pronto
129,Vangelo,Il Dialogo con Pilato sulla Verità,Giovanni 18,20:00,"Ecco a voi in 2 minuti: l'interrogatorio nel pretorio romano. All'alba Gesù è condotto dinanzi al governatore Ponzio Pilato, che gli domanda: «Sei tu il re dei Giudei?» Gesù risponde con maestà: «Il mio regno non è di questo mondo. Per questo io sono nato e per questo sono venuto nel mondo: per dare testimonianza alla verità. Chiunque è dalla verità ascolta la mia voce.» Pilato chiede scettico: «Che cos'è la verità?» e riconosce di non trovare in lui alcuna colpa.",Pronto
130,Vangelo,La Scelta tra Barabba e Gesù,Matteo 27,20:00,"Ecco a voi in 2 minuti: la folla che rifiuta il Giusto innocente. Per la festa di Pasqua il governatore usa rilasciare un carcerato; propone la scelta tra il noto ribelle Barabba e Gesù chiamato Cristo. Spinta dai capi dei sacerdoti, la folla reclama a gran voce la liberazione di Barabba e grida per Gesù: «Sia crocifisso!» Pilato si lava le mani con l'acqua davanti al popolo dicendo: «Sono innocente del sangue di questo giusto; pensateci voi!» L'innocente accoglie la condanna per riscattare l'umanità.",Pronto
131,Vangelo,La Corona di Spine e l'Ecce Homo,Giovanni 19,20:00,"Ecco a voi in 2 minuti: la regalità del dolore coronata di spine. I soldati romani spogliano Gesù, gli gettano sulle spalle un manto di porpora, intrecciano una corona di spine aguzze e gliela pongono sul capo, mettendogli una canna nella mano destra. Lo deridono inginocchiandosi: «Salve, re dei Giudei!» Pilato lo conduce fuori davanti alla folla attonita proclamando: «Ecce Homo, ecco l'Uomo!» Nella sua dignità ferita risplende la grandezza invincibile dell'amore che non si piega all'odio.",Pronto
132,Vangelo,Simone di Cirene Porta la Croce,Marco 15,20:00,"Ecco a voi in 2 minuti: la condivisione inattesa del peso della croce. Mentre conducono Gesù fuori dalle mura per la crocifissione, egli crolla sotto il peso del legno. I soldati costringono un uomo che torna dai campi, Simone di Cirene padre di Alessandro e Rufo, a prendere la croce e a portarla dietro a lui. Da un obbligo forzato nasce un incontro di grazia indelebile che segnerà per sempre la vita di un'intera famiglia. Chi condivide il dolore del fratello partecipa alla redenzione.",Pronto
133,Vangelo,La Salita al Calvario e la Crocifissione,Luca 23,20:00,"Ecco a voi in 2 minuti: il sacrificio supremo sul colle del Golgota. Giunti sul luogo chiamato Cranio, crocifiggono Gesù insieme a due malfattori, uno a destra e uno a sinistra. Sopra il suo capo è posta la scritta: «Questo è il Re dei Giudei.» La folla guarda, i capi scherniscono, i soldati si dividono le sue vesti tirandole a sorte. Eppure da quell'albero di dolore non si leva alcuna maledizione, ma solo la voce sommessa della preghiera che abbraccia il mondo intero nell'ora estrema.",Pronto
134,Vangelo,La Prima Parola: «Padre, perdona loro»,Luca 23,20:00,"Ecco a voi in 2 minuti: il vertice del perdono offerto ai carnefici. Inchiodato al legno della croce tra spasimi indicibili, Gesù apre le labbra non per lamentarsi o invocare vendetta dal cielo, ma per intercedere per chi lo trafigge: «Padre, perdona loro, perché non sanno quello che fanno!» La misericordia divina si rivela più forte della violenza e dell'ingiustizia umana, aprendo una sorgente perenne di riconciliazione per chiunque riconosce il proprio smarrimento.",Pronto
135,Vangelo,La Promessa di Salvezza al Buon Ladrone,Luca 23,20:00,"Ecco a voi in 2 minuti: la porta del paradiso aperta all'ultimo istante. Uno dei malfattori crocifissi lo insulta, ma l'altro lo rimprovera: «Non hai timore di Dio? Noi riceviamo il giusto castigo per le nostre azioni, ma egli non ha fatto nulla di male.» Poi si volge a Gesù con fiducia: «Signore, ricordati di me quando entrerai nel tuo regno!» Gesù gli risponde subito con solenne dolcezza: «In verità ti dico: oggi sarai con me in paradiso.» Nessun cuore pentito è mai dimenticato.",Pronto
136,Vangelo,Maria e il Discepolo ai Piedi della Croce,Giovanni 19,20:00,"Ecco a voi in 2 minuti: l'affidamento filiale nell'ora del dolore. Presso la croce stanno la madre di Gesù, la sorella di sua madre e il discepolo che egli amava. Vedendo la madre e accanto a lei il discepolo, Gesù dice alla madre: «Donna, ecco tuo figlio!» Poi si rivolge al discepolo: «Ecco tua madre!» E da quell'ora il discepolo la prese con sé nella propria casa. Nell'ora del distacco terreno nasce una nuova famiglia spirituale affidata alla cura e alla tenerezza reciproca.",Pronto
137,Vangelo,Le Tenebre a Mezzogiorno e il Velo Squarciato,Matteo 27,20:00,"Ecco a voi in 2 minuti: il lutto della creazione e l'accesso al Santuario. Da mezzogiorno fino alle tre del pomeriggio si fa buio su tutta la terra, il sole si oscura e la terra trema. Gridando a gran voce, Gesù rimette il suo spirito nelle mani del Padre e spira. In quell'istante il grande velo del tempio si squarcia in due, da cima a fondo, e le rocce si spaccano. Si abbatte ogni separazione tra cielo e terra: la presenza divina è ora accessibile al cuore di ogni credente.",Pronto
138,Vangelo,La Fede del Centurione Romano,Marco 15,20:00,"Ecco a voi in 2 minuti: il riconoscimento della divinità nel momento della fine. Il centurione romano che sta di fronte alla croce osserva ogni istante dell'agonia di Gesù, il suo modo di pregare, il suo perdono e la dignità con cui spira l'ultimo respiro. Colpito nel profondo da quella maestà silenziosa, esclama ad alta voce davanti a tutti: «Veramente quest'uomo era Figlio di Dio!» Il primo a confessare la fede dopo la croce è un soldato straniero conquistato dalla luce dell'amore.",Pronto
139,Vangelo,La Sepoltura nella Tomba Nuova di Giuseppe,Giovanni 19,20:00,"Ecco a voi in 2 minuti: la pietà affettuosa nel giardino di Betania. Sul far della sera Giuseppe d'Arimatea, discepolo segreto per timore, trova il coraggio di chiedere a Pilato il corpo di Gesù. Insieme a Nicodemo, che porta una ricca mistura di mirra e aloe, avvolge il corpo in teli di lino con aromi preziosi e lo depone in un sepolcro nuovo scavato nella roccia in un giardino vicino, rotolando una grande pietra all'entrata. Il seme riposa in pace nell'attesa dell'aurora.",Pronto
140,Vangelo,Il Sepolcro Sigillato e le Guardie Romane,Matteo 27,20:00,"Ecco a voi in 2 minuti: la vana sicurezza delle difese umane. Il giorno seguente i capi dei sacerdoti e i farisei vanno da Pilato ricordando la profezia della risurrezione al terzo giorno: «Ordina che il sepolcro sia custodito fino al terzo giorno!» Pilato concede una guardia armata; essi vanno, assicurano la grande pietra all'ingresso della tomba e vi pongono i sigilli ufficiali di Roma. Ma nessun sigillo terreno né forza di soldati può trattenere la sorgente della vita eterna.",Pronto
141,Vangelo,L'Alba di Pasqua e la Tomba Svuotata,Matteo 28,20:00,"Ecco a voi in 2 minuti: il terremoto di gioia che annuncia la vittoria. All'alba del primo giorno della settimana, mentre albeggia, la terra trema forte: un angelo del Signore scende dal cielo, rotola la grande pietra e vi si siede sopra, con un aspetto splendente come folgore e vesti candide come neve. Alle donne accorse con gli aromi annuncia la lieta novella: «Non abbiate paura! So che cercate Gesù il crocifisso: non è qui, è risorto come aveva detto!» La vita ha vinto la morte per sempre.",Pronto
142,Vangelo,L'Apparizione a Maria Maddalena nel Giardino,Giovanni 20,20:00,"Ecco a voi in 2 minuti: le lacrime asciugate dalla voce del Risorto. Maria Maddalena piange presso il sepolcro vuoto credendo che abbiano portato via il Maestro. Si volta e scorge un uomo che crede sia il giardiniere: «Signore, se l'hai portato via tu, dimmi dove l'hai posto!» Gesù le dice semplicemente: «Maria!» Ella riconosce all'istante quella voce inconfondibile e grida: «Rabbunì, Maestro mio!» La prima testimone della risurrezione corre ad annunciare: «Ho visto il Signore!»",Pronto
143,Vangelo,«Pace a Voi»: L'Apparizione nel Cenacolo,Giovanni 20,20:00,"Ecco a voi in 2 minuti: il soffio di pace che disperde la paura. La sera di Pasqua i discepoli sono chiusi nel cenacolo per timore, con le porte sbarrate. All'improvviso Gesù compare in mezzo a loro e dice: «Pace a voi!» Mostra loro le mani e il costato con i segni della passione e i discepoli si rallegrano vedendo il Signore. Poi alita su di loro dicendo: «Ricevete lo Spirito Santo: a chi rimetterete i peccati saranno rimessi.» La pace divina rigenera e invia nel mondo.",Pronto
144,Vangelo,La Fede Riconquistata dall'Apostolo Tommaso,Giovanni 20,20:00,"Ecco a voi in 2 minuti: il tocco d'amore che scioglie ogni dubbio. Tommaso non era presente all'apparizione e dichiara: «Se non vedo nelle sue mani il segno dei chiodi e non metto la mia mano nel suo costato, non crederò!» Otto giorni dopo Gesù torna a porte chiuse e si rivolge direttamente a lui: «Metti qua il tuo dito e guarda le mie mani; non essere incredulo, ma credente!» Tommaso cade in ginocchio esclamando: «Mio Signore e mio Dio!» «Beati quelli che non hanno visto e hanno creduto!»",Pronto
145,Vangelo,La Nuova Pesca Miracolosa sul Lago all'Alba,Giovanni 21,20:00,"Ecco a voi in 2 minuti: la colazione sulla brace sulla riva di Galilea. Sette discepoli pescano tutta la notte sul lago senza prendere nulla. All'alba uno sconosciuto dalla riva grida: «Figlioli, non avete nulla da mangiare? Gettate la rete dal lato destro della barca e troverete!» Obbediscono e non riescono più a tirarla su per la moltitudine di centocinquantatré grandi pesci. Giovanni riconosce il Maestro: «È il Signore!» Pietro si getta subito in mare per raggiungerlo a riva.",Pronto
146,Vangelo,Il Triplice Riscatto d'Amore di Pietro,Giovanni 21,20:00,"Ecco a voi in 2 minuti: la ferita guarita dal triplice «Mi ami tu?». Accanto al fuoco di carboni sulla spiaggia, Gesù domanda a Simone: «Simone di Giovanni, mi ami più di costoro?» Pietro risponde tre volte con commozione crescente: «Signore, tu sai tutto; tu sai che ti amo!» A ogni risposta Gesù rinnova la sua fiducia immensa: «Pasci i miei agnelli, pasci le mie pecorelle; seguimi!» Il rimpianto del passato si trasforma nella dedizione più alta e generosa per la comunità.",Pronto
147,Vangelo,Il Grande Mandato Missionario sul Monte,Matteo 28,20:00,"Ecco a voi in 2 minuti: l'invio universale verso tutti i confini della terra. Su un monte della Galilea, Gesù Risorto appare agli undici discepoli proclamando: «Ogni potere mi è stato dato in cielo e sulla terra. Andate dunque e fate discepoli tutti i popoli, battezzandoli nel nome del Padre e del Figlio e dello Spirito Santo, insegnando loro a osservare tutto ciò che vi ho comandato. Ed ecco, io sono con voi tutti i giorni, fino alla fine del mondo.» La promessa della sua presenza accompagna la missione.",Pronto
148,Atti degli Apostoli,L'Ascensione al Cielo sul Monte degli Ulivi,Atti 1,20:00,"Ecco a voi in 2 minuti: il ritorno alla gloria del Padre e la promessa. Dopo quaranta giorni dalla risurrezione, Gesù conduce i discepoli sul monte degli Ulivi, alza le mani e li benedice. Mentre li benedice, si stacca da terra e una nube luminosa lo sottrae ai loro sguardi mentre ascende al cielo. Due uomini in candide vesti appaiono accanto agli apostoli attoniti dicendo: «Uomini di Galilea, questo Gesù tornerà un giorno nello stesso modo in cui l'avete visto andare in cielo!» La speranza illumina l'attesa.",Pronto
